ID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,tanimp,relimp,resimp,asrimp,empimp,oq,rec,use,prob,resolve,sex,mstat,age,inc,ed,reliavrg,empavrg,tangavrg,respavrg,assuravg
1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,30,40,10,10,10,Yes,5 or more years,No,NA,Female,Married,25-44,$30K-$49.9K,High School or Less,7,7,7,7,7
2,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree Slightly,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,NA,NA,1,No,2 to 5 years,Yes,No,NA,NA,NA,NA,NA,1,1.4,2,1,1
3,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Agree Slightly,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,NA,NA,NA,NA,NA,10,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,Graduate School,6,6.2,5.75,6.25,6.5
4,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,35,20,20,20,10,Yes,Less than 1 year,No,NA,Male,Married,25-44,$30K-$49.9K,Some College,6.6,6.8,6.5,7,7
5,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree Slightly,Agree Slightly,Agree,Agree,Agree,Neither Agree Nor Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,20,40,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,5.8,5,NA,NA
6,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree Slightly,Agree,Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,5,15,10,50,20,5,Yes,5 or more years,Yes,Yes,Female,Married,25-44,$30K-$49.9K,Some College,5.2,4.6,6.25,4.5,4.75
7,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree Slightly,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,20,20,20,20,20,9,Yes,5 or more years,No,NA,Female,Married,25-44,$20K - $29.9 K,High School or Less,6.2,6.2,5.75,6,6.75
8,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Disagree Slightly,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree Slightly,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,10,30,30,15,15,9,Yes,5 or more years,Yes,No,Male,Married,25-44,$50K-$64.9,Some College,6.4,5.6,5.5,5.5,6.5
9,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree Slightly,Neither Agree Nor Disagree,Disagree Slightly,NA,NA,NA,Agree Slightly,Neither Agree Nor Disagree,Agree Slightly,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree Slightly,Neither Agree Nor Disagree,Neither Agree Nor Disagree,5,45,25,15,10,5,Yes,5 or more years,Yes,Yes,Female,Married,25-44,>$65K,Some College,4,4.4,5,4.5,4.25
10,Agree,Agree,Agree,Agree,Agree,Agree,Disagree Slightly,Agree,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,NA,NA,10,15,25,25,25,8,Yes,5 or more years,No,NA,Male,Married,25-44,$30K-$49.9K,College Graduate,6,5,5.25,6.5,6
11,Neither Agree Nor Disagree,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree,Neither Agree Nor Disagree,Strongly Agree,Agree Slightly,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,10,20,10,50,10,8,Yes,5 or more years,No,NA,Male,Married,25-44,$10K-$19.9 K,Some College,5,5.2,5,6.5,6.25
